id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,amenities,partly_furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,lobby_in_building,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
8942144,Business Bay,25.190442,55.283396999999994,2183160,1040,2099.19,2,2,Medium,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,shared_gym,view_of_landmark,",True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
8942145,Business Bay,25.190442,55.283396999999994,2190930,1043,2100.6,2,2,Medium,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,shared_gym,view_of_landmark,",True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
8942143,Business Bay,25.190442,55.283396999999994,2024610,964,2100.22,2,2,High,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,maids_room,pets_allowed,private_garden,private_jacuzzi,shared_gym,shared_pool,study,view_of_landmark,view_of_water,walk_in_closet,",True,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,True,True
8942138,Abu Dhabi,24.311142,54.621775,1550000,185,8378.38,3,5,High,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,maids_room,pets_allowed,private_garden,private_pool,shared_gym,shared_pool,study,view_of_water,",False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False
8942134,Dubai Harbour,25.09938,55.141275,6699555,2000,3349.78,3,3,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,concierge,maids_room,pets_allowed,shared_gym,shared_pool,view_of_water,",False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
8942115,Business Bay,25.190442,55.283396999999994,1023500,441,2320.86,0,1,Medium,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,pets_allowed,private_jacuzzi,shared_gym,shared_pool,view_of_landmark,view_of_water,",True,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False
8942114,Dubai Silicon Oasis,25.116298,55.390612,450000,794,566.75,1,1,Medium,"unfurnished,balcony,barbecue_area,childrens_play_area,childrens_pool,covered_parking,lobby_in_building,view_of_landmark,",False,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8942109,Dubai Harbour,25.099399,55.142134999999996,1795999,798,2250.63,1,1,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,concierge,pets_allowed,shared_gym,shared_pool,view_of_water,",False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
8942105,Abu Dhabi,24.438014000000003,54.614371999999996,1902886,1692,1124.64,2,3,Low,"unfurnished,covered_parking,security,",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8942055,Jumeirah Village Circle,25.066791000000002,55.203683999999996,385000,362,1063.54,0,1,Medium,"furnished,balcony,central_ac,covered_parking,kitchen_appliances,pets_allowed,shared_gym,shared_pool,",True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
