id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,amenities,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,kitchen_appliances,lobby_in_building,maid_service,maids_room,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
8935194,Arjan,25.065806,55.233004,34000,468,72.65,0,1,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,view_of_landmark,",True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
8922509,Jumeirah,25.215192,55.235827,700000,1620,432.1,1,2,Medium,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,shared_gym,shared_pool,",True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8919569,Arjan,25.061118,55.245642,50000,900,55.56,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,concierge,covered_parking,lobby_in_building,security,shared_gym,shared_pool,view_of_landmark,",True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
8935220,Jumeirah Village Circle,25.05761,55.199182,72000,962,74.84,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,childrens_play_area,childrens_pool,covered_parking,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
8909749,Business Bay,25.187683,55.2699,130000,1254,103.67,2,2,High,"furnished,balcony,built_in_wardrobes,central_ac,concierge,covered_parking,kitchen_appliances,security,shared_gym,shared_pool,shared_spa,view_of_landmark,view_of_water,walk_in_closet,",True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True
8932547,Jumeirah Village Circle,25.051384,55.2121,78000,994,78.47,2,2,High,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,vastu_compliant,walk_in_closet,",True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
8927805,Jumeirah Village Circle,25.056571,55.204936,140000,1404,99.72,2,2,Medium,"furnished,balcony,built_in_wardrobes,central_ac,concierge,covered_parking,kitchen_appliances,maid_service,security,shared_gym,shared_pool,",True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
8073039,Palm Jumeirah,25.106964,55.111349,365000,1370,266.42,2,3,High,"furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,view_of_water,",True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False
8864219,Palm Jumeirah,25.119924,55.131562,550000,4545,121.01,3,3,Low,"unfurnished,built_in_wardrobes,central_ac,maids_room,shared_pool,view_of_water,",True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
8916655,Damac Hills 2,24.987762,55.379241,60000,1208,49.67,3,3,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,maid_service,pets_allowed,private_garden,private_pool,security,shared_gym,shared_pool,study,",True,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False
8915708,Jumeirah Village Circle,25.059748,55.1996,48000,494,97.17,0,1,High,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,walk_in_closet,",True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
8938003,Jumeirah Village Circle,25.048095,55.206373,63999,746,85.79,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,childrens_play_area,childrens_pool,covered_parking,kitchen_appliances,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
